name	description	region	lookup_charity_code_id	featured	top_recommended	syw_altkey	temp_icon_filename
Big Brothers Big Sisters of America	"Big Brothers Big Sisters, the nation's largest donor and volunteer supported mentoring network, holds itself accountable for children in its program to achieve measurable outcomes, including educational success; avoidance of risky behaviors; and higher aspirations, greater confidence and better relationships. Partnering with parents/guardians, schools, corporations and others in the community, Big Brothers Big Sisters carefully pairs children (""Littles"") with screened volunteer mentors (""Bigs"") and monitors and supports these one-to-one mentoring matches in building safe, enduring relationships. The first-ever Big Brothers Big Sisters Youth Outcomes Summary, released in 2012, substantiates that its mentoring programs have proven, positive academic, socio-emotional and behavioral outcomes for youth, areas linked to high school graduation, avoidance of juvenile delinquency and college or job readiness."	National (U.S.)	11	0	1	10135	BigBrothersBigSistersOfAmerica.jpg
Big Brothers Big Sisters of NYC	"Formed in 1904, Big Brothers Big Sisters of New York City (BBBS NYC) provide mentors to all children who need caring adult role models - special friends who can help expand their horizons, realize their potential and enrich their futures - changing their lives. We seek to train community organizations in every neighborhood, empowering them to establish their own mentoring programs. BBBS NYC offers unique programs, tailored to fit the needs of a diverse pool of youth, including teenage mothers, children with developmental disabilities, or new Americans, as well as a diverse pool of volunteers, including corporate employees and seniors. BBBS NYC remains committed to expanding services, developing ideas, and making history, until every boy and girl who needs a mentor has a Big of his or her own."	New York	8	0	1	10134	BigBrothersBigSistersofNYC.jpg
Camp Good Days and Special Times	"Founded in 1979, Camp Good Days and Special Times is dedicated to improving the quality of life for children, adults and families whose lives have been touched by cancer and other life challenges. All of the programs and services provided by Camp Good Days are offered free of charge for the participants. Camp Good Days provides residential camping programs at our beautiful recreational facility, located on the shores of Keuka Lake in Branchport, New York, as well as year-round recreational and support activities, in the Rochester, Buffalo & Syracuse, New York and Central Florida areas for the entire family. At Camp Good Days, participants have the opportunity to regain some of what cancer, sickle cell anemia, HIV/AIDS, or violence has taken away from them."	Maine	15	0	1	10136	CARE.jpg
CARE	"Founded in 1945, CARE is a leading humanitarian organization fighting global poverty. Our mission is to serve individuals and families in the poorest communities in the world. Drawing strength from our global diversity, resources and experience, we promote innovative solutions and are advocates for global responsibility. We facilitate lasting change by: strengthening capacity for self-help; providing economic opportunity; delivering relief in emergencies; influencing policy decisions at all levels; and addressing discrimination in all its forms. We place special focus on working alongside poor women because, equipped with the proper resources, women have the power to help whole families and entire communities escape poverty."	National (U.S.)	9	0	1	10109	CampGoodDaysAndSpecialTimes.jpg
Center for Arts Education	"Established in 1996, the Center for Arts Education (CAE) is committed to stimulating and sustaining quality arts education as an essential part of every child's education in the New York City public schools. CAE provides information and resources that demonstrate the benefits of and need for arts education as part of a quality, balanced education. CAE also identifies and supports exemplary partnerships and programs that demonstrate how the arts contribute to learning and student achievement. CAE is dedicated to influencing educational and fiscal policies that will support arts education in all of the city's public schools."	Maine	12	0	1	10137	CenterForArtsEducation.jpg
Chess-in-the-Schools	"Chess-in-the-Schools is dedicated to improving academic performance and building self-esteem among inner-city public school children. Since 1986, Chess-in-the-Schools has taught, inspired, and empowered more than 450,000 students in New York City public schools. All schools served by Chess-in-the-Schools are classified as Title I. In these schools, more than 40% of the students are eligible for free or reduced cost lunch (an indicator of socio-economic disadvantage.) Through structured classroom, after-school, weekend, and summer programs, we use chess as an educational tool to promote learning and to help young people develop skills in critical thinking and problem solving."	Maine	13	0	0	10138	ChessInTheSchools.jpg
Childhood Leukemia Foundation	"Founded in 1992, the mission of the Childhood Leukemia Foundation (CLF) is to lift the spirit and enhance the quality of life of children suffering with cancer. Our goal is to make sure children battling cancer know they are not alone. All of our programs have been designed to: educate and entertain; provide a sense of physical normalcy and help raise self esteem; encourage physical participation and therapeutic play; maintain a communications lifeline; and provide care management tools. CLF works with more than 140 specialized treatment centers. The organization serves over 15,000 children nationwide with free program and service offerings for childhood cancer patients and their families."	Ohio	3	0	0	10142	ChildhoodLeukemiaFoundation.jpeg
Children for Children	"Children for Children (CFC) was founded in 1996 by parents concerned that many New York City children were growing up without meaningful, accessible opportunities to become engaged in their greater community from an early age despite the powerful individual and societal benefits afforded by youth service. CFC fosters community involvement and social responsibility in young people, offers opportunities for young people from preschool through high school to grow involved, through hands-on service and philanthropy programs that teach the value of volunteering and giving. CFC's programs accommodate a wide range of ages, abilities, interests and busy schedules just right for kids, families, schools, educators and other community youth organizations."	Maine	15	0	0	10139	ChildrenForChildren(Generation On).jpeg
Children's Brain Tumor Foundation	"Children's Brain Tumor Foundation was founded in 1988 by dedicated parents, physicians and friends. Our mission is to improve the treatment, quality of life and the long term outlook for children with brain and spinal cord tumors through research, support, education, and advocacy to families and survivors. Knowledge is critical for families to access expert care and ensure quality of life. Our free publication 'A Resource Guide for Parents of Children with Brain and Spinal Cord Tumors' is now in its fourth edition, and is full of practical information to sort out the complexities of medical procedures, interruptions in school and social life, and uncertainty about the future. We also offer a toll-free support line, parent to parent network, and we host and sponsor events which offer families fun while building relationships within the community."	Maine	14	0	0	10140	ChildrensBrainTumorFoundation.jpg
Children's Cancer & Blood Foundation	"The Children's Cancer and Blood Foundation (CCBF), through its support of the Division of Pediatric Hematology and Oncology at the New York - Presbyterian Hospital Weill Cornell Medical Center, has created a standard of excellence in the treatment of children with chronic, life-threatening blood disorders since 1952. Children and their families receive the most advanced, comprehensive care provided by a team of pediatric specialists in an atmosphere of compassion, hope and wellness. Since our founding, CCBF funding has helped revolutionize the treatment of children suffering from cancers and childhood blood disorders."	Ohio	10	0	0	10141	ChildrensCancerAndBloodFoundation.jpg
Children's Museum of Manhattan	"The mission of the Children's Museum of Manhattan (CMOM) is to inspire children and families to learn about themselves and our culturally diverse world through a unique environment of interactive exhibitions and programs. Last year, CMOM served more than 350,000 people, which included 65,000 children who visited the Museum as part of a school group or through one of the Museum's off-site partners. CMOM is committed to making its exhibits and programs available to all, and with nearly 50 sites around New York City, we continually reach thousands of families who might not otherwise be able to benefit from our services. CMOM's four priority areas are meant to impact children in ways that will last a lifetime: early childhood education; creativity in the arts and sciences; healthy lifestyles; and the exploration of world cultures."	New York	9	0	0	10143	ChildrensMuseumOfManhattan.jpg
Children's Rights	"Children's Rights is a national advocacy group working to reform America's failing child welfare systems on behalf of the abused and neglected children who depend on them for protection. Since 1995, Children's Rights has been fighting to enshrine in the law of the land every child's right to be protected from abuse and neglect and to grow up in a safe, stable, permanent home. Through tough legal action complemented by substantive policy expertise, we have won landmark victories and brought about sweeping improvements in the lives of abused and neglected children in more than a dozen states across the nation."	Idaho	2	0	0	10144	ChildrensRights.jpg
Children's Scholarship Fund	"Founded in 1998, the Children's Scholarship Fund (CSF) provides partial tuition assistance for low-income families to send their children to private schools. Currently, almost 25,500 children nationwide are using CSF scholarships. These children are attending private school through the generosity of our donors, the efforts of 29 scholarship programs, and the sacrifices made by the families themselves, who pay, on average, 50% of their children's tuition. CSF provides scholarships for children grades Kindergarten - 8th grade. The Fund focuses on elementary education because the earlier a child receives sound schooling, the better. Scholarships are awarded to all eligible children in a family to attend the school or schools of their choice."	Idaho	8	0	0	10145	ChildrensScholarshipFund.png
Christopher and Dana Reeve Foundation	"The Christopher and Dana Reeve Foundation is dedicated to curing spinal cord injury by funding innovative research, and improving the quality of life for people living with paralysis through grants, information and advocacy. In 1995, when Christopher Reeve was injured, the American Paralysis Association (APA) was one of the first places that he and Dana turned to. Christopher had formed his own foundation, but in 1999, they came together as the Christopher Reeve Foundation. Today, the Foundation is recognized as the premier spinal cord injury research organization throughout the world. Through the Reeve Foundation's persistence and promise, neuroscientists around the world agree that repairing the damaged spinal cord is not a question of if, but a question of when."	National (U.S.)	18	0	1	10118	ChristopherAndDanaReeveFoundation.jpg
"Classroom, Inc."	"Classroom, Inc.'s innovative curriculum engages students with the greatest needs and helps them develop academic skills essential for success in school and the workplace. Since 1991, our programs have been in over 700 sites in 15 states, and we have served over 600,000 students. Classroom, Inc.'s content-rich instructional programs turn classrooms into learning environments that motivate students through innovative teaching methods and materials based on the idea that young people learn better when they are compelled by their work. We develop computer software simulations that place students in virtual workplaces, create print curriculum materials corresponding to each simulation, and provide a comprehensive professional development program that helps teachers to effectively integrate our curriculum into their classroom instruction."	Idaho	14	0	0	10146	ClassroomInc..jpg
Computers for Youth	"Founded in 1999, Computers for Youth (CFY) is a national educational organization dedicated to improving the home learning environment of low-income school children. Our work is built on the belief that the home holds the greatest untapped potential for improving children's academic and life-long success. CFY partners with schools to improve the educational resources available in children's homes, enhance parent-child interaction around learning and help teachers make powerful links between the classroom and the home. Our computer-based home learning centers are designed by software experts and tested by students and education executives from around the country. Since beginning operations in 1999, CFY has served more than 20,000 families."	Idaho	12	0	0	10147	ComputersForYouth.png
Disabled American Veterans Charitable Serivce Trust	"The Disabled American Veterans (DAV) Charitable Service Trust supports physical and psychological rehabilitation programs, meets the special needs of veterans with specific disabilities - such as amputation and blindness - and aids and shelters homeless veterans. Programs supported by the Trust target several groups of physically and psychologically disabled veterans. Key programs include: helping to maintain a volunteer-operated transportation network providing rides to sick and disabled veterans needing transportation to and from VA medical centers for treatment; providing food and shelter and connecting homeless and needy veterans to essential medical care, VA benefits counseling and job training; supporting significant therapeutic initiatives; and many more."	National (U.S.)	10	0	1	10110	DisabledAmericanVeteransCharitable Service Trust.jpg
Do Something	"Do Something believes young people have the power to make a difference. It is our aim to inspire, support and celebrate a generation of do-ers: people who see the need to do something, believe in their ability to get it done, and then take action. Our website is a community where young people learn, listen, speak, vote, volunteer, ask, and take action to make the world a better place. Currently, only 23% of this generation actively volunteers. Our hope is to create a do something generation: a world where more than 51% of young people are involved with community action."	Idaho	1	0	0	10148	DoSomething.jpg
"Doctors Without Borders, USA"	"Doctors Without Borders, USA (DWB-USA) was founded in 1990 in New York City to raise funds, create awareness, recruit field staff, and advocate with the United Nations and US government on humanitarian concerns. Doctors Without Borders/Médecins Sans Frontières (MSF) is an international medical humanitarian organization that provides aid in nearly 60 countries to people whose survival is threatened by violence, neglect, or catastrophe, primarily due to armed conflict, epidemics, malnutrition, exclusion from health care, or natural disasters. In 2007, MSF-USA raised $152.1 million and sent 200 aid workers to work overseas."	National (U.S.)	3	1	1	10103	DoctorsWithoutBorders.jpg
DonorsChoose	"Founded in 2000, DonorsChoose allows citizen philanthropists to fund specific project requests from teachers in U.S. public schools. We make it personal: donors choose a project that moves them, and then they hear back from the classroom with photos and updates. DonorsChoose validates the project request and purchases the resources for the teacher. To date, we have funded over 90,000 classroom projects to bring learning alive for students, providing more than two million children with books, technology, supplies, funding for field trips or class visitors, and other resources. Our vision is of a nation where students in every community have the resources they need to learn."	Pennsylvania	7	0	0	10149	DonorsChoose.jpg
East Harlem Tutorial Program	"Since its pioneering establishment in 1958, East Harlem Tutorial Program (EHTP) has been one of the most successful after-school educational programs in New York. Recognizing that each child has unique talents and learning styles, EHTP's After School Program relies on the interaction of parents, teachers and children in promoting literacy-based educational enrichment and personal development activities for enrollees between the ages of five and twenty-one. As a vital East Harlem education and enrichment center, EHTP works with children from early childhood through adulthood to ensure that they have the resources needed to access opportunities for academic, social and career advancement while fully engaging parents and caregivers in their children's development"	New York	10	0	0	10150	EastHarlemTutorialProgram.jpg
Family to Family	"Family-to-Family (F-to-F) is a tax-exempt 501(c)(3), non-profit national hunger relief organization. We are dedicated to connecting, one-to-one, families with “more” to impoverished American families with profoundly less. Our program creates a bridge between communities with enough to share, and some of our country's poorest areas"	Arizona	6	0	0	10177	FamilyToFamily.jpg
Feed the Children	"Feed The Children is a Christian, international relief organization that delivers food, medicine, clothing and other necessities to individuals, children and families who lack these essentials due to famine, war, poverty or natural disaster. Since our founding in 1979, we have grown into one of the world's largest private organizations dedicated to helping hungry and hurting people. Last year, Feed The Children shipped 133 million pounds of food and other essentials to children and families in all 50 states and around the world. A key goal is to help families in need move past needing help and into becoming self-sufficient members of their community."	National (U.S.)	8	0	1	10108	FeedTheChildren.jpg
Food For the Poor	"Food For The Poor (FFP) ministers to spiritually renew impoverished people throughout Latin America and the Caribbean. Established in 1982, FFP's goals are to improve the health, economic, social and spiritual conditions of the men, women and children we serve. Food For The Poor raises funds and provides direct relief assistance to the poor, usually by purchasing specifically requested materials and distributing them through the churches and charity organizations already operating in areas of need. Since its founding FFP has distributed more than 48,000 tractor-trailer loads of aid to the poor. We have also built more than 55,000 housing units for people desperately in need of adequate shelter, and completed more than 750 water projects that provide lifesaving water and sanitation to hundreds of thousands of villagers in need."	North Carolina	15	0	1	10124	FoodForThePoor.jpg
Fresh Youth Initiatives	"Recognizing that young people in Washington Heights lack safe, structured, and engaging ways to spend time in the non-school hours of the day, Fresh Youth Initiatives (FYI) was launched in 1993 as a community-based youth development organization. FYI's mission is to support and encourage young people in Washington Heights to design and carry out community service projects, develop leadership skills, fulfill their potential and realize their dreams. Participants in FYI clean parks, paint murals, volunteer in community gardens, make and distribute homemade sleeping bags for the homeless, and volunteer in our own youth-run, adult facilitated food pantry, The Helping Hands Food Pantry, among other things."	New York	10	0	0	10152	FreshYouthInitiatives.jpg
Friends of Karen	"Founded in 1978, Friends of Karen provides emotional, financial and advocacy support to children with life-threatening illnesses and their families. Friends of Karen achieves its mission by providing direct financial assistance with medical care, illness-related expenses and household expenses that families cannot afford due to loss of income as a result of their child's illness; serving as an advocate for the children and their families before government and private agencies; investigating resources available to the children and their families; offering bereavement support for parents who have lost a child and for siblings who have lost a brother or sister; assisting families through the difficult maze of health insurance problem; and acting as a referral source and providing guidance to families with ill children outside our guidelines."	New York	1	0	1	10122	FriendsOfKaren.jpg
Fund for Public Schools	"The Fund for Public Schools works to attract private investment in school reform and to encourage greater involvement of all New Yorkers in the education of our children. This includes working to secure critical funding for system-wide education reform initiatives; facilitating strategic public-private partnerships; managing a targeted set of programs to support city schools; and building city-wide public awareness. In 2002 Mayor Michael R. Bloomberg and Chancellor Joel I. Klein established public-private partnerships as a critical means of supporting public education reform, and The Fund is the primary vehicle for advancing this effort. The Fund has secured unprecedented investment, raising more than $230 million for system-wide reforms and initiatives that support individual schools."	Pennsylvania	8	0	0	10153	FundForPublicSchools.jpg
Girls Inc.	"Girls Inc. is a national youth organization dedicated to inspiring all girls to be strong, smart, and bold. With roots dating to 1864, Girls Inc. has provided vital educational programs to millions of American girls, particularly those in high-risk, underserved areas. Today, innovative programs help girls confront subtle societal messages about their value and potential, and prepare them to lead successful, independent, and fulfilling lives. Programs based on research gathered at the Girls Inc. National Resource Center encourage girls ages 6-18 to take risks and master physical, intellectual, and emotional challenges. Programs are offered through a network of 1,000 sites nationwide and are facilitated by trained professional staff."	Colorado	15	0	0	10154	GirlsInc..jpg
Habitat For Humanity - New York City	"Founded in 1984 as an independent affiliate of Habitat for Humanity International, Habitat for Humanity - New York City builds in the five boroughs of New York City. We complete about 25 houses a year. We build the homes with the sweat equity of our family partner homeowners who work side-by-side with volunteers. In addition to building homes, Habitat-NYC is a leading advocate for affordable housing. Our goal is to ensure that every New Yorker has a decent, affordable home, by creating a social movement to end the housing crisis plaguing New York City and by calling on elected officials to make affordable housing a priority."	New York	4	0	1	10128	HabitatForHumanity.jpg
Habitat For Humanity International	"Founded in 1976, Habitat for Humanity International (HFHI) is an ecumenical Christian housing ministry. HFHI seeks to eliminate poverty housing and homelessness from the world, and to make decent shelter a matter of conscience and action. Habitat invites people of all backgrounds, races and religions to build houses together in partnership with families in need. Habitat has built more than 300,000 houses around the world, providing more than 1.5 million people in more than 3,000 communities with safe, decent, affordable shelter. Habitat is founded on the conviction that every man, woman and child should have a simple, decent, affordable place to live in dignity and safety."	Global	9	0	1	10129	HabitatForHumanity.jpg
Harlem Children's Zone	"Harlem Children's Zone (HCZ) is an innovative and unique community-based organization, offering education, social-service and community-building programs to children and families since 1970. HCZ has experienced incredible growth - from the number of children we serve to the breadth of our services. But one thing has stayed the same: the agency's whatever it takes attitude when it comes to helping children to succeed. Today, HCZ continues to offer innovative, efficiently run programs that are aimed at doing nothing less than breaking the cycle of generational poverty for the thousands of children and families it serves. All HCZ programs are offered free to the children and families of Harlem."	Colorado	16	0	0	10155	HarlemChildrensZone.jpg
iMentor	"iMentor's mission is to improve the lives of young people from underserved communities through innovative, technology-based approaches to mentoring. Over the past ten years, iMentor has transformed over 20,000 lives. iMentor cultivates relationships between young people and volunteer adult mentors through an innovative combination of e-mail correspondence and in-person meetings. To-date, iMentor has matched over 10,000 mentor-mentee pairs, partnering with 30 NYC schools and after school programs in four of New York City's five boroughs and programs all over the country through iMentor Interactive. iMentor's vision is that one day, all youth will be connected to adult role models who motivate and guide them through high school and college graduation."	Pennsylvania	9	0	0	10157	iMentor.jpg
Inner-City Scholorship Fund	"Inner-City Scholarship Fund (ICSF), a not-for-profit organization, was founded in 1971 by the late Terence Cardinal Cooke and a group of prominent New York executives from many religious backgrounds. ICSF seeks to provide tuition assistance to students from low-income families who wish to attend inner-city Catholic schools within the Archdiocese of New York, thus making values-based Catholic education a viable choice for children of all faiths. Through the generosity of its volunteers, ICSF is also able to supplement the education received with a variety of enrichment programs to benefit these children and the schools they attend."	Illinois	19	0	0	10158	InnerCityScholarshipFund.jpg
Invisible Children	"The story of Invisible Children (IC) began in 2003, when three young filmmakers traveled to East Africa and filmed a documentary, Invisible Children: The Rough Cut, about the ongoing civil war and child soldier phenomenon in northern Uganda. Upon showing this documentary in the United States, the story of the child soldiers sparked a youth-oriented grassroots movement driven by the desire to transform apathy into activism.This movement led to the establishment of Invisible Children, Inc. as a registered 501(c)3 in 2005. IC's programs include educational and microeconomic initiatives in Central Africa benefitting over 11,000 people as well as biannual tours, awareness events, and fundraising campaigns stateside. Recently, IC has expanded its operations to Central Africa to address the plight of the most recent victims of the LRA's reign of terror who live in some of the most remote regions of the world."	National (U.S.)	4	1	1	10104	InvisibleChildren.jpg
Joe Torre Safe At Home Foundation	"The Joe Torre Safe At Home Foundation was founded in 2002 by Ali and Joe Torre to educate children to end the cycle of domestic violence and save lives. The Foundation aims to educate children about the issue of domestic violence. In 2005, the Foundation opened its first school-based programming initiative, Margaret's Place, at Hostos-Lincoln Academy, Bronx, NY. Margaret's Place, a tribute to his mom, is a comprehensive program which provides students with a safe room in school where they can meet with a professional counselor trained in domestic-violence intervention and prevention. Currently there are ten fully funded and operational Margaret's Places in New York City and Westchester County."	Illinois	20	0	0	10159	JoeTorreSafeAtHomeFoundation.png
Juvenile Diabetes Research Foundation International	"The Juvenile Diabetes Research Foundation International (JDRF) is the leader in research leading to a cure for type 1 diabetes in the world. It sets the global agenda for diabetes research, and is the largest charitable funder and advocate of diabetes science worldwide. The mission of JDRF is to find a cure for diabetes and its complications through the support of research. Type 1 diabetes is an autoimmune disease that strikes children and adults suddenly, and can be fatal. Since its founding in 1970 by parents of children with type 1 diabetes, JDRF has awarded more than $1.3 billion to diabetes research, including more than $156 million in FY2008."	National (U.S.)	20	0	1	10120	JuvenileDiabetesResearchFoundation International.jpg
K.I.D.S.	"K.I.D.S. (Kids in Distressed Situations) was founded in 1985 to assist children suffering from famine in Ethiopia. From the initial efforts of a small group of children's industry leaders, the organization has grown into a global charity dedicated to alleviating poverty conditions among children and assisting in relief efforts following major disasters. K.I.D.S. brings hope and self-esteem to children in need and their families by providing new clothes, shoes, toys, furniture, books and juvenile products through a network of more than a thousand local social service agencies. These agencies serve youth in poverty-stricken communities through homeless shelters, foster-care facilities, hospitals, relief organizations, food banks and other programs in the U.S. and abroad."	Pennsylvania	4	0	0	10160	K.I.D.S..png
Keep a Child Alive	"Keep a Child Alive is dedicated to providing life-saving anti-retroviral treatment, care and support services to children and families whose lives have been affected by HIV/AIDS in Africa and India by directly engaging the global public in the fight against AIDS. What started as a very personal incident between two mothers has become a tremendous initiative for change. With over 4,000 children and family members on ARV treatment, over 250,000 people under our care, three orphanages receiving funding, and major clinic sites in expansion, Keep a Child Alive is making a direct impact in the lives of so many who need help."	New Jersey	15	0	0	10161	KeepAChildAlive.jpg
Lance Armstron Foundation	"The Lance Armstrong Foundation (LAF) believes that in the battle with cancer, unity is strength, knowledge is power and attitude is everything. Founded in 1997 by cancer survivor and champion cyclist, Lance Armstrong, the LAF inspires and empowers people with cancer. We provide the practical information and tools people with cancer need to live life on their own terms. We take aim at the gaps between what is known and what is done to prevent suffering and death due to cancer. We unite people to fight cancer and pursue an agenda focused on: prevention, access to screening and care, improvement of the quality of life for cancer survivors, and investment in research."	National (U.S.)	17	0	1	10117	LanceArmstrongFoundation.jpg
Learning Leaders	"Founded in 1956 as the New York City School Volunteer Program, Learning Leaders was the first program of its kind in the country and served as a model for developing school volunteer programs in other major cities. Learning Leaders has grown to become the largest school volunteer and parent engagement program in the city and a valued partner of the New York City Department of Education. Learning Leaders has helped students succeed by providing individualized instructional support through the implementation of the Fundamental Program, essentially the one-on-one tutoring model. This program establishes volunteers to assist with reading, writing, ESL, math and other academic activities. Learning Leaders recruits, trains and supports up to 10,000 school volunteers who work with over 230,000 students."	Illinois	18	0	0	10162	LearningLeaders.jpg
"Literacy, Inc."	"Literacy, Inc. (LINC), founded in 1996, is based on two beliefs: all children can read given enough one-on-one support and every neighborhood has strengths and resources that can be coordinated to support early literacy. LINC works with communities to: develop a dynamic and sustainable network of community activities that achieve unified literacy success; help organizations, community leaders and others to understand the many ways they can support young children as readers; encourage families and other community members to be increasingly engaged as reading partners to young children; create a perceptible shift in the community belief that all its neighborhood children will read on time with community support; and ensure a literacy rich community that will contribute to the success of children entering school by ensuring that they are ready to learn and read on time."	Arizona	4	0	0	10163	LiteracyInc..png
Little Kids Rock	"Founded in 1996, Little Kids Rock (LKR) believes that all children in our public schools deserve music education. LKR knows that music is a critical component of a first-rate education. We inspire children to express themselves through music, building the creativity, confidence, and self-esteem that are critical to success in school and beyond. We accomplish this by: pioneering innovative teaching methods that are rooted in children's knowledge of popular music forms such as rock, rap, blues, hip-hop etc; preparing practitioners such as teachers and youth workers to offer classes utilizing our methods and materials; and providing free musical instruments and trained instructors to children, especially to those children who do not receive music education."	Arkansas	9	0	1	10127	LittleKidsRock.jpg
Make-A-Wish Foundation of America	"The Make-A-Wish Foundation grants the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength and joy. Based in Phoenix, the Foundation is one of the world's leading children's charities, serving children in every community in the United States, its territories, and in 47 countries on five continents. With the help of generous donors and more than 30,000 volunteers worldwide, the Make-A-Wish Foundation grants a wish somewhere around the world every 23 minutes. It has granted more than 280,000 wishes since its inception in 1980. Visit the Make-A-Wish Foundation at www.wish.org and discover how you can share the power of a wish®."	National (U.S.)	12	0	1	10112	MakeAWishFoundationOfAmerica.jpg
March of Dimes	"President Franklin Roosevelt established the March of Dimes in 1938. March of Dimes has saved the lives of millions of babies since our founding. And we won't stop until we reach the day when every baby is born healthy. The mission of the March of Dimes is to improve the health of babies by preventing birth defects and infant mortality. We carry out this mission through research, community services, education and advocacy to save babies' lives. March of Dimes researchers, volunteers, educators, outreach workers and advocates work together to give all babies a fighting chance against the threats to their health: prematurity, birth defects, and low birthweight."	Pennsylvania	14	0	0	10164	MarchOfDimes.jpg
